# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	269784
#@/user_id	a7db7ad9-a2db-4db2-a47e-500434d77068
a 	啊	c=2024 d=2.69461 t=269624
gan xing qu 	感兴趣	c=3 d=1 t=127203
gan ya zi 	赶鸭子	c=1 d=1 t=132302
gan yong 	敢用	c=1 d=1 t=188430
gan you 	甘油	c=1 d=1 t=203156
gan yu 	干预	c=2 d=1 t=149438
gan zao 	干燥	c=2 d=1 t=190884
gan zhao ji 	干着急	c=1 d=1 t=192902
gan zhe 	干着	c=2 d=1 t=113370
gan zhe 	甘蔗	c=1 d=1 t=253081
gan zhe 	赶着	c=1 d=1 t=263985
gan zhou 	赣州	c=1 d=1 t=146005
gan zi 	杆子	c=2 d=1.98511 t=241113
gang 	刚	c=6 d=1 t=251436
gang beng 	钢镚	c=1 d=1 t=247331
gang bi 	港币	c=1 d=1 t=72512
gang cai 	刚才	c=1 d=1 t=96037
gang gang 	刚刚	c=78 d=1.0027 t=269518
gang gang hao 	刚刚好	c=1 d=1 t=195286
gang hao 	刚好	c=29 d=1 t=249906
gang hua mo 	钢化膜	c=2 d=1 t=258528
gang kai shi 	刚开始	c=7 d=1 t=202181
gang kan 	刚看	c=1 d=1 t=101307
gang kou 	港口	c=1 d=1 t=201475
gang kui 	钢盔	c=0 d=0.1 t=13457
gang lai 	刚来	c=1 d=1 t=126541
gang wei 	岗位	c=1 d=1 t=122783
gao 	告	c=2 d=1 t=199162
gao 	搞	c=276 d=1.0632 t=267211
gao 	膏	c=1 d=1.09802 t=107915
gao 	高	c=97 d=1.00001 t=257019
gao ban ben 	高版本	c=1 d=1 t=120543
gao bei 	高倍	c=3 d=1 t=234625
gao bu 	搞不	c=1 d=1 t=239526
gao bu ding 	搞不定	c=2 d=1 t=147705
gao bu dong 	搞不懂	c=3 d=1 t=255237
gao bu guo 	搞不过	c=1 d=1 t=121544
gao bu hao 	搞不好	c=1 d=1 t=107495
gao bu lai 	搞不来	c=1 d=1 t=83759
gao bu qing chu 	搞不清楚	c=2 d=1 t=54011
gao bu xia lai 	搞不下来	c=1 d=1 t=71162
gao ceng 	高层	c=8 d=1.42956 t=249766
gao che 	搞扯	c=1 d=1 t=228350
gao cheng 	搞成	c=5 d=1 t=189838
gao chu 	搞出	c=4 d=1 t=230628
gao chu lai 	搞出来	c=3 d=1 t=240606
gao ci 	告辞	c=7 d=1 t=102477
gao cuo 	搞错	c=4 d=1 t=99120
gao dan bai 	高蛋白	c=1 d=1 t=98579
gao dao 	搞到	c=5 d=1 t=249262
gao de 	搞得	c=4 d=1 t=197643
gao de 	搞的	c=11 d=1 t=212616
gao de 	高德	c=6 d=1 t=197642
gao deng 	高等	c=3 d=1 t=30496
gao di 	高低	c=29 d=1 t=248429
gao di kou 	高低扣	c=3 d=2.50447 t=182768
gao dian 	搞点	c=6 d=1 t=224873
gao dian 	糕点	c=1 d=1 t=224874
gao die 	搞跌	c=1 d=1 t=240423
gao ding 	搞定	c=13 d=1 t=251612
gao dong 	搞懂	c=5 d=1 t=158262
gao du 	高度	c=5 d=1.98965 t=184079
gao duan ji 	高端机	c=1 d=1 t=152441
gao fei 	高飞	c=6 d=1 t=251163
gao gao 	搞搞	c=1 d=1 t=156170
gao gao 	高高	c=1 d=1 t=156169
gao ge 	搞个	c=11 d=1 t=250458
gao gui 	高贵	c=1 d=1 t=74397
gao guo 	高过	c=1 d=1 t=225047
gao hao 	搞好	c=3 d=1 t=255292
gao hun 	搞混	c=2 d=1 t=140199
gao ji 	高级	c=9 d=1 t=238411
gao jie 	高阶	c=2 d=1 t=112926
gao jin mian fen 	高筋面粉	c=2 d=1.44486 t=243283
gao jing 	高精	c=0 d=0.1 t=243281
gao jing mian fei 	高精免费	c=1 d=1 t=243282
gao kai di zou 	高开低走	c=1 d=1 t=236073
gao kao 	高考	c=4 d=1 t=142971
gao mao 	搞毛	c=1 d=1 t=6885
gao nan 	高难	c=1 d=1 t=24506
gao nan du 	高难度	c=1 d=1 t=6646
gao qi 	搞起	c=1 d=1 t=65373
gao qi lai 	搞起来	c=1 d=1 t=220671
gao qian 	搞钱	c=2 d=1 t=229981
gao qing chu 	搞清楚	c=3 d=1 t=168552
gao qing xian 	高清线	c=1 d=1 t=21491
gao qiu 	搞球	c=1 d=1 t=39956
gao qiu bu dong 	搞求不懂	c=1 d=1 t=39781
gao sha 	搞啥	c=1 d=1 t=16929
gao shang qu 	搞上去	c=1 d=1 t=266514
gao shen 	高深	c=1 d=1 t=156583
gao shen mo ce 	高深莫测	c=1 d=1 t=136171
gao sheng 	高升	c=1 d=1 t=132568
gao shi qing 	搞事情	c=5 d=1 t=227971
gao su 	告诉	c=55 d=1 t=267109
gao su 	高速	c=13 d=1 t=267108
gao su lu 	高速路	c=2 d=1.01925 t=2361
gao su lu shang 	高速路上	c=1 d=1 t=2360
gao tie 	高铁	c=2 d=1.32792 t=73396
gao tou 	搞头	c=0 d=0.1 t=229621
gao tou bu 	搞头不	c=1 d=1 t=229622
gao wan 	搞完	c=6 d=1 t=244710
gao wei 	高危	c=1 d=1 t=17139
gao wen 	高温	c=1 d=1 t=199622
gao wen jia 	高温假	c=1 d=1 t=189763
gao xia 	搞下	c=1 d=1 t=88750
gao xiao 	搞笑	c=1 d=1 t=85456
gao xiao 	高效	c=2 d=1 t=26998
gao xiao lv 	高效率	c=1 d=1 t=5576
gao xin qu 	高新区	c=2 d=1 t=101209
gao xing 	高兴	c=3 d=1 t=34333
gao xing bu qi lai 	高兴不起来	c=1 d=1 t=26931
gao xue ya 	高血压	c=5 d=1.93242 t=197879
gao yao 	膏药	c=2 d=1 t=269354
gao yi dian dian 	高一点点	c=1 d=1 t=246092
gao yu 	高于	c=2 d=1 t=198561
gao yuan 	高原	c=1 d=1 t=104306
gao zhi 	告知	c=11 d=1.65705 t=182161
gao zhi liang 	高质量	c=1 d=1 t=5575
gao zhong 	高中	c=9 d=3.53481 t=33114
ge 	个	c=1001 d=1.00386 t=268996
ge 	哥	c=128 d=1 t=263187
ge 	搁	c=1 d=1 t=75427
ge 	歌	c=1 d=1 t=252599
ge 	隔	c=4 d=1 t=234798
ge da 	各大	c=2 d=1 t=127199
ge fang mian 	各方面	c=2 d=1.95123 t=1175
ge ge 	各个	c=6 d=1.99501 t=263737
ge ge 	哥哥	c=8 d=1.97531 t=256048
ge gui 	个鬼	c=0 d=0.1 t=15521
ge jiu cai 	割韭菜	c=3 d=1.26982 t=241807
ge ju 	格局	c=1 d=1 t=16078
ge kong 	隔空	c=1 d=1 t=95121
ge ming 	革命	c=1 d=1 t=119509
ge pi 	嗝屁	c=2 d=1 t=160608
ge qu 	歌曲	c=1 d=1 t=252613
ge ren 	个人	c=48 d=1 t=268893
ge san cha wu 	隔三岔五	c=1 d=1 t=132564
ge shi 	格式	c=23 d=1.01825 t=261119
ge shi hua 	格式化	c=13 d=1.46533 t=261264
ge shu 	个数	c=43 d=2.15265 t=264836
ge shui 	个税	c=11 d=1 t=240126
ge wai 	格外	c=1 d=1 t=124013
ge wei 	各位	c=6 d=1 t=267423
ge wen ti 	个问题	c=1 d=1 t=65129
ge xiao shi 	个小时	c=2 d=1 t=112506
ge ying 	膈应	c=1 d=1 t=46481
ge you 	各有	c=1 d=1 t=29447
ge you tan 	葛优瘫	c=1 d=1 t=95666
ge you tang 	葛优躺	c=1 d=1 t=95667
ge yue 	个月	c=13 d=1 t=255463
ge zhe 	隔着	c=2 d=1 t=197328
ge zhong 	各种	c=38 d=1 t=267225
ge zhong ge yang 	各种各样	c=3 d=1.89583 t=142854
ge zhong yuan you 	个中缘由	c=1 d=1 t=595
ge zhou 	各州	c=1 d=1 t=221973
ge zi 	各自	c=12 d=1.74453 t=267744
ge zi 	格子	c=20 d=1 t=238063
ge zi 	鸽子	c=4 d=1.00009 t=59393
gei 	给	c=1444 d=1.96485 t=269685
gei bu liao 	给不了	c=1 d=1 t=202758
gei chu 	给出	c=3 d=1 t=220974
gei chu lai 	给出来	c=1 d=1 t=126379
gei chu qu 	给出去	c=1 d=1 t=17836
gei dao 	给到	c=4 d=1 t=241453
gei ding 	给定	c=1 d=1 t=64804
gei ge 	给个	c=12 d=1.97045 t=208119
gei gui o 	给贵哦	c=1 d=1 t=167005
gei guo 	给过	c=1 d=1 t=143810
gei li 	给力	c=1 d=1 t=205801
gei ni 	给你	c=5 d=1 t=205800
gei o 	给哦	c=1 d=1 t=132430
gei qian 	给钱	c=7 d=1 t=250400
gei quan 	给全	c=1 d=1 t=194782
gei ren 	给人	c=1 d=1 t=3979
gei ta 	给它	c=1 d=1 t=288
gei wo men 	给我们	c=1 d=1 t=102107
gei wo shuo de 	给我说的	c=1 d=1 t=259447
gei xia 	给下	c=2 d=1 t=264002
gei yu 	给与	c=2 d=1.01592 t=6375
gen 	根	c=3 d=1 t=159084
gen 	跟	c=14 d=1.00001 t=243871
gen ben 	根本	c=4 d=1 t=222254
gen bu shang 	跟不上	c=3 d=1 t=220098
gen ge 	跟个	c=0 d=0.1 t=53212
gen ge neng 	跟个能	c=3 d=1 t=217863
gen ge tuan 	跟个团	c=1 d=1 t=53213
gen jie dian 	根节点	c=6 d=1 t=86700
gen jin 	跟进	c=27 d=1 t=258429
gen jin qu 	跟进去	c=1 d=1 t=225484
gen ju 	根据	c=91 d=1 t=269022
gen mu lu 	根目录	c=1 d=1 t=80713
gen ni 	跟你	c=1 d=1 t=40403
gen shang 	跟上	c=5 d=1 t=123501
gen sui 	跟随	c=3 d=1 t=252133
gen tuan 	跟团	c=2 d=1.90937 t=15402
gen xia 	跟下	c=4 d=1 t=185994
gen yi xia 	跟一下	c=1 d=1 t=202611
gen zai 	跟在	c=1 d=1 t=108419
gen zhe 	跟着	c=35 d=1 t=263888
gen zhi 	根治	c=1 d=1 t=197527
gen zong 	跟踪	c=5 d=1.90937 t=151196
geng 	更	c=29 d=1 t=265905
geng 	梗	c=4 d=1 t=34544
geng bie shuo 	更别说	c=1 d=1 t=179
geng da 	更大	c=2 d=1 t=121943
geng dan xin 	更担心	c=1 d=1 t=105943
geng di 	耕地	c=1 d=1 t=61012
geng duo 	更多	c=9 d=1 t=241597
geng fu za 	更复杂	c=1 d=1 t=222238
geng gai 	更改	c=5 d=1.03127 t=259521
geng guan xin 	更关心	c=1 d=1 t=38500
geng gui 	更贵	c=1 d=1 t=74955
geng hao 	更好	c=7 d=1 t=260665
geng hao yong 	更好用	c=1 d=1 t=236568
geng he kuang 	更何况	c=1 d=1 t=1756
geng huan 	更换	c=9 d=1 t=265145
geng jia 	更加	c=6 d=1 t=193260
geng jian dan 	更简单	c=1 d=1 t=151408
geng jin yi bu 	更进一步	c=2 d=1.00042 t=157955
geng nan shou 	更难受	c=1 d=1 t=99418
geng pian yi 	更便宜	c=1 d=1 t=224846
geng qiang 	更强	c=2 d=1 t=209787
geng rong yi 	更容易	c=3 d=1 t=124598
geng shen 	更深	c=3 d=1 t=156424
geng xin 	更新	c=299 d=1.00017 t=268818
geng xin dao 	更新到	c=2 d=1 t=181387
geng xin xia 	更新下	c=1 d=1 t=166621
gong 	公	c=2 d=1.96561 t=244656
gong 	共	c=1 d=1 t=233517
gong 	宫	c=1 d=1 t=93211
gong 	工	c=1 d=1 t=38410
gong bai cai 	拱白菜	c=1 d=1 t=1942
gong bu 	公布	c=1 d=1 t=179560
gong chang 	工厂	c=3 d=1 t=245527
gong cheng 	工程	c=37 d=1.97045 t=267104
gong cheng liang 	工程量	c=2 d=1 t=210731
gong cheng xia 	工程下	c=1 d=1 t=30009
gong cun 	共存	c=1 d=1 t=116242
gong di 	功底	c=1 d=1 t=17468
gong dou ju 	宫斗剧	c=1 d=1 t=89975
gong gao 	公告	c=3 d=1 t=250637
gong gong 	公共	c=0 d=0.1 t=89820
gong gong fang fa 	公共方法	c=1 d=1 t=89821
gong guan zu 	攻关组	c=1 d=1 t=24834
gong he guo 	共和国	c=0 d=0.1 t=58058
gong he guo shi 	共和国是	c=1 d=1 t=58059
gong hui 	工会	c=2 d=1.956 t=222561
gong ji 	公鸡	c=1 d=1 t=373
gong ji 	攻击	c=8 d=1 t=154158
gong ji ji 	攻击机	c=1 d=1 t=55587
gong ji jin 	公积金	c=37 d=1.00192 t=247833
gong jian 	攻坚	c=1 d=1 t=6473
gong jiao 	公交	c=6 d=1 t=199802
gong jiao che 	公交车	c=8 d=1 t=223616
gong jiao zhan 	公交站	c=1 d=1 t=213292
gong ju 	工具	c=57 d=1 t=266590
gong ju lei 	工具类	c=1 d=1 t=110156
gong kai 	公开	c=1 d=1 t=16710
gong li 	宫里	c=1 d=1 t=112949
gong lv 	功率	c=1 d=1 t=60797
gong lve 	攻略	c=4 d=1 t=180867
gong men kou 	宫门口	c=1 d=1 t=28248
gong ming 	共鸣	c=2 d=1 t=23356
gong neng 	功能	c=231 d=1.03858 t=269481
gong neng ji 	功能机	c=1 d=1 t=162095
gong neng ping shen hui 	功能评审会	c=1 d=1 t=26879
gong niu 	公牛	c=16 d=1.99005 t=220509
gong nv 	宫女	c=1 d=1 t=29324
gong qi 	工期	c=3 d=1 t=199629
gong ren 	工人	c=1 d=1 t=32110
gong shang 	工商	c=1 d=1 t=225869
gong shang yin hang 	工商银行	c=1 d=1 t=161571
gong shi 	公式	c=1 d=1 t=109497
gong si 	公司	c=199 d=1.44933 t=264346
gong ting ju 	宫廷剧	c=1 d=1 t=29329
gong tong 	共同	c=4 d=1 t=229472
gong wei 	工位	c=1 d=1 t=112591
gong xi 	恭喜	c=1 d=1 t=243340
gong xian 	贡献	c=4 d=1.85254 t=151143
gong xiang 	共享	c=11 d=1 t=226920
gong xing 	共性	c=1 d=1 t=86213
gong xiu 	公休	c=1 d=1 t=189765
gong xue 	供血	c=7 d=2.55489 t=198053
gong xue bu zu 	供血不足	c=1 d=1 t=119940
gong ying shang 	供应商	c=1 d=1 t=23807
gong yong 	公用	c=6 d=1.0972 t=250079
gong yong 	共用	c=1 d=1 t=204392
gong you 	公有	c=1 d=1 t=166605
gong you 	共有	c=2 d=1.00103 t=166603
gong yu 	公寓	c=5 d=1.00001 t=139808
gong yuan 	公园	c=5 d=1 t=56085
gong yuan zhan 	公园站	c=1 d=1 t=14376
gong zhong 	公众	c=1 d=1 t=119365
gong zhong hao 	公众号	c=5 d=1.48675 t=176314
gong zhu 	公主	c=12 d=1 t=267354
gong zhu bian zhuang xiu 	公主变装秀	c=1 d=1 t=25048
gong zhuang 	工装	c=2 d=1 t=200192
gong zi 	工资	c=42 d=1 t=262363
gong zi dan 	工资单	c=1 d=1 t=240108
gong zui 	共醉	c=0 d=0.1 t=126576
gong zuo 	工作	c=120 d=1 t=260972
gong zuo liang 	工作量	c=4 d=1 t=240734
gong zuo ren wu 	工作任务	c=1 d=1 t=156900
gong zuo ren yuan 	工作人员	c=1 d=1 t=112574
gong zuo ri 	工作日	c=5 d=1 t=230415
gong zuo shang 	工作上	c=2 d=1 t=16291
gong zuo zhi yu 	工作之余	c=1 d=1 t=6459
gou 	够	c=31 d=1 t=263744
gou 	狗	c=7 d=1 t=245561
gou 	苟	c=0 d=0.1 t=128438
gou bu 	够不	c=1 d=1 t=67786
gou bu gou 	够不够	c=1 d=1 t=202940
gou cheng 	构成	c=1 d=1 t=123134
gou chi 	够吃	c=2 d=1 t=123879
gou dong xi 	狗东西	c=2 d=1 t=95123
gou fang 	购房	c=2 d=1 t=61298
gou gou 	狗狗	c=2 d=1 t=250371
gou hun 	勾魂	c=0 d=0.1 t=87346
gou hun er 	勾魂儿	c=4 d=1.00001 t=92384
gou jian 	构建	c=2 d=1 t=24308
gou jie 	勾结	c=1 d=1 t=252038
gou mai 	购买	c=44 d=1 t=268747
gou mai de 	购买的	c=1 d=1 t=203734
gou pi gao yao 	狗皮膏药	c=1 d=1 t=139765
gou qi 	枸杞	c=2 d=1 t=263676
gou qiang 	够呛	c=1 d=1 t=153250
gou ri 	狗日	c=2 d=1 t=160322
gou shu shu 	苟叔叔	c=2 d=1.94176 t=128451
gou si 	构思	c=1 d=1 t=128766
gou tong 	沟通	c=80 d=1 t=269118
gou tong xia 	沟通下	c=1 d=1 t=16525
gou tu 	构图	c=2 d=1 t=245763
gou wu 	购物	c=1 d=1 t=247583
gou wu che 	购物车	c=3 d=1 t=246190
gou xing yun 	够幸运	c=1 d=1 t=27466
gou xu 	沟洫	c=0 d=0.1 t=240887
gou xuan 	勾选	c=1 d=1 t=143542
gou yin 	勾引	c=6 d=1 t=246979
gou yong 	够用	c=8 d=1.00046 t=268218
gou yuan 	够远	c=1 d=1 t=25471
gou zao 	构造	c=4 d=2.65052 t=260818
gou zao han shu 	构造函数	c=1 d=1 t=159762
gou zhe 	苟着	c=2 d=1.89137 t=247854
gou zhi 	购置	c=2 d=1.95123 t=160532
gou zi 	狗子	c=6 d=1 t=177384
gou zou 	勾走	c=1 d=1 t=246993
gu 	古	c=1 d=0.1 t=50281
gu dai 	古代	c=1 d=1 t=27716
gu dao 	鼓捣	c=1 d=1 t=122578
gu di chong you 	故地重游	c=1 d=1 t=229208
gu dian 	古典	c=1 d=1 t=242287
gu ding 	固定	c=75 d=1 t=245848
gu ding de 	固定的	c=2 d=1 t=56854
gu ding xin hao 	固定信号	c=1 d=1 t=13802
gu ding zhi 	固定值	c=2 d=1.58567 t=41931
gu du 	孤独	c=2 d=1.96079 t=3021
gu er 	故而	c=7 d=1 t=261313
gu fen 	股份	c=1 d=1 t=250417
gu ge 	谷歌	c=24 d=1 t=266879
gu ge 	骨骼	c=45 d=1.75277 t=266046
gu gong 	故宫	c=5 d=1.65051 t=60662
gu huo 	蛊惑	c=1 d=1 t=19518
gu ji 	估计	c=376 d=1.00009 t=269743
gu ji 	孤寂	c=2 d=1.01832 t=4012
gu ji 	顾及	c=1 d=1 t=47579
gu ji shi 	估计是	c=21 d=1 t=249034
gu jia 	估价	c=1 d=1 t=50087
gu jian 	固件	c=1 d=1 t=6811
gu ju 	故居	c=1 d=1 t=117009
gu li 	鼓励	c=1 d=1 t=99802
gu li zhe 	孤立者	c=1 d=1 t=334
gu lv 	顾虑	c=1 d=1 t=37760
gu mu 	古墓	c=1 d=1 t=235616
gu mu li ying 	古墓丽影	c=1 d=1 t=233908
gu piao 	股票	c=4 d=1 t=239094
gu qi lai 	鼓起来	c=2 d=1 t=170558
gu qian 	古钱	c=1 d=0.1 t=226805
gu qian ou 	古钱区	c=1 d=1 t=226806
gu shi 	故事	c=19 d=1 t=253545
gu shi 	股市	c=6 d=1.76721 t=241594
gu ti 	固体	c=0 d=0.1 t=162739
gu tou 	骨头	c=5 d=1 t=265846
gu tou tang 	骨头汤	c=1 d=1 t=95203
gu wan 	古玩	c=1 d=1 t=16055
gu yi 	故意	c=4 d=1 t=177860
gu zhuang ju 	古装剧	c=2 d=1 t=246726
gu zi li 	骨子里	c=2 d=1.00484 t=4453
gua 	挂	c=131 d=1.00002 t=267716
gua 	瓜	c=10 d=1 t=185031
gua bu shang 	挂不上	c=1 d=1 t=186628
gua dian 	挂点	c=112 d=2.17034 t=268640
gua ding 	挂定	c=1 d=1 t=242799
gua ge 	挂个	c=5 d=1 t=197892
gua gou 	挂钩	c=6 d=1 t=260042
gua gua 	刮刮	c=1 d=1 t=194689
gua hao 	挂号	c=2 d=1 t=147120
gua hua 	刮花	c=2 d=1.98511 t=7445
gua kao 	挂靠	c=1 d=1 t=111642
gua pai 	挂牌	c=3 d=1 t=52879
gua qia 	挂卡	c=4 d=1 t=160958
gua qian 	挂牵	c=2 d=1 t=147927
gua tang ji 	挂烫机	c=1 d=1 t=55210
gua xia 	刮下	c=1 d=1 t=267715
gua xian yu 	挂闲鱼	c=1 d=1 t=55204
gua xin 	挂心	c=1 d=1 t=151918
gua yi fu 	挂衣服	c=1 d=1 t=54715
gua you 	刮油	c=1 d=1 t=98573
gua zai 	挂载	c=1 d=1 t=21641
gua zhe 	挂着	c=6 d=1 t=95608
gua zhe 	瓜着	c=1 d=1 t=39010
gua zi 	瓜子	c=1 d=1 t=246400
guai 	乖	c=4 d=1 t=251104
guai 	怪	c=7 d=1 t=236158
guai bu hao yi si 	怪不好意思	c=1 d=1 t=28289
guai guai 	乖乖	c=10 d=1.99005 t=208791
guai guai 	怪怪	c=5 d=1 t=243169
guai qiao 	乖巧	c=1 d=1 t=222525
guai ren 	怪人	c=5 d=1 t=263317
guai shou 	怪兽	c=1 d=1 t=27132
guai wei hu dou 	怪味胡豆	c=4 d=1 t=114566
guai wo 	怪我	c=2 d=1 t=127873
guai yi 	怪异	c=1 d=1 t=62957
guan 	关	c=114 d=1.00002 t=269224
guan 	管	c=41 d=1 t=264280
guan ba 	管吧	c=1 d=1 t=167934
guan bi 	关闭	c=32 d=1 t=266946
guan bi xia 	关闭下	c=1 d=1 t=21600
guan bu dao 	管不到	c=2 d=1 t=217340
guan cai fang 	棺材房	c=3 d=2.7092 t=57735
guan cha 	观察	c=9 d=1 t=269562
guan deng 	关灯	c=1 d=1 t=2582
guan dian 	观点	c=6 d=1 t=219537
guan diao 	关掉	c=6 d=1 t=254789
guan fan ji 	官翻机	c=1 d=1 t=58888
guan fang 	官方	c=22 d=1.01353 t=258997
guan jia 	管家	c=1 d=1 t=81102
guan jian 	关键	c=10 d=1 t=219593
guan jian ci 	关键词	c=1 d=1 t=4947
guan jian shi 	关键是	c=14 d=1 t=202848
guan jian zi 	关键字	c=10 d=1 t=145377
guan jie shu 	关结束	c=1 d=1 t=190379
guan kui 	管窥	c=1 d=1 t=34296
guan li 	管理	c=31 d=1.00003 t=260922
guan li qi 	管理器	c=1 d=1 t=258607
guan lian 	关联	c=2 d=1 t=232474
guan men 	关门	c=2 d=1 t=142022
guan nian 	观念	c=3 d=1 t=179287
guan qi 	观其	c=2 d=1 t=266247
guan qia 	关卡	c=929 d=2.9191 t=269047
guan qia li mian 	关卡里面	c=1 d=1 t=38788
guan qia ren wu 	关卡任务	c=1 d=1 t=102722
guan qian 	管钱	c=1 d=1 t=71470
guan qiang 	官腔	c=7 d=1 t=153992
guan shang 	官商	c=1 d=1 t=252037
guan shang gou jie 	官商勾结	c=1 d=1 t=191611
guan ta 	管他	c=3 d=1 t=228624
guan ta 	管它	c=1 d=1 t=89041
guan wang 	官网	c=11 d=1 t=266809
guan xi 	关系	c=95 d=1.00008 t=268320
guan xin 	关心	c=15 d=1.00006 t=243216
guan xin ni 	关心你	c=1 d=1 t=26944
guan xing 	惯性	c=1 d=1 t=266001
guan ya 	关押	c=1 d=1 t=200177
guan ya jun 	冠亚军	c=1 d=1 t=4420
guan yin ge 	观音阁	c=1 d=1 t=81632
guan yong 	管用	c=2 d=1 t=134158
guan yu 	关于	c=40 d=1.90032 t=259647
guan zhe 	关着	c=1 d=1 t=242376
guan zhu 	关注	c=19 d=1 t=260571
guan zhuang 	罐装	c=1 d=1 t=157420
guan zi 	管子	c=3 d=1 t=149816
guang 	光	c=26 d=1.99005 t=258397
guang 	广	c=10 d=1 t=260304
guang 	逛	c=11 d=1.07502 t=109642
guang an 	广安	c=1 d=1 t=108390
guang chang 	广场	c=1 d=1 t=16763
guang chang wu 	广场舞	c=2 d=1 t=99353
guang da 	广大	c=1 d=1 t=13672
guang fa 	广发	c=1 d=1 t=120745
guang fan 	广泛	c=2 d=1 t=123098
guang fu 	光伏	c=1 d=1 t=265068
guang gan 	光感	c=1 d=1 t=9915
guang gao 	广告	c=4 d=1 t=243154
guang guang 	逛逛	c=14 d=1 t=155214
guang jiao 	广角	c=1 d=1 t=28174
guang jie 	逛街	c=1 d=1 t=254727
guang ka 	光卡	c=1 d=1 t=123611
guang mao 	广袤	c=1 d=1 t=2356
guang ming 	光明	c=0 d=0.1 t=27517
guang ming zou 	光明走	c=1 d=1 t=27518
guang sa wang 	广撒网	c=1 d=1 t=90137
guang tou 	光头	c=2 d=1.99005 t=199350
guang tu tu 	光秃秃	c=1 d=1 t=9215
guang xiao 	光效	c=2 d=1 t=158748
guang zhao 	光照	c=1 d=1 t=232057
gui 	贵	c=34 d=1 t=251193
gui 	鬼	c=1 d=1 t=22614
gui bi 	规避	c=33 d=1.40263 t=238565
gui bi diao 	规避掉	c=1 d=1 t=217770
gui bu 	贵不	c=1 d=1 t=195674
gui bu gui 	贵不贵	c=3 d=1 t=82800
gui dang 	归档	c=10 d=2.01917 t=222210
gui dao 	轨道	c=7 d=1 t=101975
gui dian 	贵点	c=2 d=1 t=195147
gui ding 	规定	c=10 d=1 t=261065
gui fan 	规范	c=3 d=1 t=250050
gui ge 	规格	c=1 d=1 t=20618
gui gen dao di 	归根到底	c=4 d=1 t=244393
gui gen jie di 	归根结底	c=0 d=0.1 t=1474
gui gen jie di an 	归根结底按	c=1 d=1 t=1475
gui gu shi 	鬼故事	c=1 d=1 t=19557
gui guan 	桂冠	c=2 d=1.81058 t=5022
gui gui ju ju 	规规矩矩	c=1 d=1 t=3628
gui hua 	规划	c=20 d=1 t=257038
gui hua xia 	规划下	c=2 d=1 t=120834
gui hua yi tiao 	规划一条	c=1 d=1 t=99231
gui lai 	归来	c=1 d=1 t=126898
gui lv 	规律	c=3 d=1 t=17666
gui mi 	闺蜜	c=5 d=1 t=108750
gui mi ri yan 	鬼迷日眼	c=1 d=1 t=14182
gui na 	归纳	c=2 d=1 t=211395
gui o 	贵哦	c=1 d=0.100006 t=168941
gui shu 	归属	c=1 d=1 t=7347
gui shu yu 	归属于	c=2 d=1.99501 t=3586
gui tai 	柜台	c=2 d=1.96561 t=39134
gui xie 	跪谢	c=1 d=1 t=220511
gui yu 	归于	c=1 d=1 t=30882
gui ze 	规则	c=50 d=1 t=261110
gui ze lai 	规则来	c=1 d=1 t=78417
gui zhang 	规章	c=1 d=1 t=173365
gui zhi dao 	鬼知道	c=1 d=1 t=28150
gui zi 	柜子	c=12 d=1 t=252193
gui zu 	贵族	c=3 d=1 t=194672
gui zu mao 	贵族猫	c=12 d=1 t=228541
gun 	滚	c=47 d=1 t=239141
gun bu gun 	滚不滚	c=1 d=1 t=194455
gun chu 	滚出	c=12 d=1 t=150125
gun chu lai 	滚出来	c=13 d=1 t=239154
gun chuang dan 	滚床单	c=1 d=1 t=265247
gun dong 	滚动	c=152 d=1.97531 t=263357
gun dong de 	滚动的	c=2 d=1 t=234313
gun hui 	滚回	c=2 d=1.956 t=71166
gun lun 	滚轮	c=1 d=1 t=265432
gun xia 	滚下	c=2 d=1 t=219354
gun xia lai 	滚下来	c=1 d=1 t=11485
gun xia qu 	滚下去	c=3 d=1 t=255059
gun zhou 	滚轴	c=2 d=1 t=79866
guo 	国	c=3 d=1 t=245591
guo 	过	c=258 d=1.0002 t=265125
guo 	锅	c=6 d=1 t=227880
guo ba 	锅巴	c=4 d=1 t=116673
guo bu guo lai 	过不过来	c=1 d=1 t=110523
guo bu qi ran 	果不其然	c=1 d=1 t=1376
guo bu qu 	过不去	c=5 d=1 t=262818
guo cha 	果茶	c=1 d=0.939457 t=191294
guo chan 	国产	c=4 d=1.97531 t=183965
guo chang 	过场	c=33 d=1 t=242294
guo cheng 	过程	c=28 d=1.13534 t=265126
guo cheng zhong 	过程中	c=11 d=1 t=267525
guo chu xi 	过除夕	c=1 d=1 t=22163
guo cui 	国粹	c=2 d=1.8825 t=27881
guo da 	过大	c=3 d=1 t=152556
guo dao 	过道	c=1 d=1 t=101670
guo de 	过得	c=1 d=1 t=215351
guo de 	过的	c=5 d=1 t=246127
guo di 	过低	c=1 d=1 t=101106
guo di 	锅底	c=6 d=1.99501 t=164528
guo dian 	过点	c=1 d=1 t=121694
guo du 	过渡	c=4 d=1 t=145983
guo duan 	果断	c=3 d=1 t=266582
guo duan shi jian 	过段时间	c=1 d=1 t=86764
guo duo 	过多	c=3 d=1 t=242772
guo fen 	过分	c=1 d=1 t=16588
